file,public_url,title,h1,description,canonical_tag,canon_status
ai-triage.html,https://www.alliancegroups.com.au/ai-triage.html,AI Compliance Triage &amp; Multi-Agent Engine | Alliance Group Brisbane,,Access Alliance Group,https://www.alliancegroups.com.au/ai-triage.html,CORRECT
asbestos-compliance.html,https://www.alliancegroups.com.au/asbestos-compliance.html,Asbestos Compliance Queensland | Duty Holder Framework | Alliance Group,Queensland Asbestos Compliance Framework,Complete guide to Queensland asbestos compliance under the WHS Act &amp; Regulation 2011. Compliance Shield™ document audits ($395) &amp; statutory risk management.,https://www.alliancegroups.com.au/asbestos-compliance.html,CORRECT
asbestos-management-plans-queensland.html,https://www.alliancegroups.com.au/asbestos-management-plans-queensland.html,Asbestos Management Plans Queensland (s429) | Alliance Group,Asbestos Management Plans Queensland (s429),"Legally compliant Asbestos Management Plans (AMP) under QLD WHS Regulation 2011 s429. Custom risk control protocols, 5-year review schedules, and emergency procedures.",https://www.alliancegroups.com.au/asbestos-management-plans-queensland.html,CORRECT
asbestos-registers-queensland.html,https://www.alliancegroups.com.au/asbestos-registers-queensland.html,Asbestos Registers Queensland | Statutory s425 Compliance | Alliance Group,Statutory Asbestos Registers Queensland (s425),"Statutory workplace Asbestos Registers under QLD WHS Regulation 2011 s425. Commercial buildings, strata &amp; body corporates. Compliance Shield™ 48hr turnaround.",https://www.alliancegroups.com.au/asbestos-registers-queensland.html,CORRECT
asbestos-removal-brisbane.html,https://www.alliancegroups.com.au/asbestos-removal-brisbane.html,Licensed Asbestos Removal Brisbane | A &amp; B Class Hazmat | Alliance Group,Licensed Asbestos Removal Brisbane,"licensed asbestos removal &amp; compliance team &amp; Class A/B asbestos removal across Brisbane. Commercial, residential &amp; industrial hazmat remediation under Compliance Shield™. Free quote.",https://www.alliancegroups.com.au/asbestos-removal-brisbane.html,CORRECT
asbestos-removal-gold-coast.html,https://www.alliancegroups.com.au/asbestos-removal-gold-coast.html,Licensed Asbestos Removal Gold Coast | AUasbestos &amp; Alliance Group,Licensed Asbestos Removal Gold Coast,"Certified Class A &amp; B asbestos removal, NATA sample testing, and independent clearance across the Gold Coast. Commercial &amp; residential hazmat contractors.",https://www.alliancegroups.com.au/asbestos-removal-gold-coast.html,CORRECT
asbestos-removal-ipswich.html,https://www.alliancegroups.com.au/asbestos-removal-ipswich.html,Licensed Asbestos Removal Ipswich | AUasbestos &amp; Alliance Group,Licensed Asbestos Removal Ipswich,"Certified Class A &amp; B asbestos removal, NATA laboratory testing, and clearance certificates across Ipswich and West Moreton. Commercial &amp; residential hazmat.",https://www.alliancegroups.com.au/asbestos-removal-ipswich.html,CORRECT
asbestos-removal-moreton-bay.html,https://www.alliancegroups.com.au/asbestos-removal-moreton-bay.html,Licensed Asbestos Removal Moreton Bay | AUasbestos &amp; Alliance Group,Licensed Asbestos Removal Moreton Bay,"Certified Class A &amp; B asbestos removal, NATA lab testing, and independent clearance certificates across Moreton Bay region. Strathpine, Caboolture, Redcliffe.",https://www.alliancegroups.com.au/asbestos-removal-moreton-bay.html,CORRECT
asbestos-removal-sunshine-coast.html,https://www.alliancegroups.com.au/asbestos-removal-sunshine-coast.html,Licensed Asbestos Removal Sunshine Coast &amp; Noosa | Alliance Group,Licensed Asbestos Removal Sunshine Coast,"Class A &amp; B licensed asbestos removal, NATA sampling &amp; clearance certificates across the Sunshine Coast &amp; Noosa. Commercial &amp; residential hazmat specialists.",https://www.alliancegroups.com.au/asbestos-removal-sunshine-coast.html,CORRECT
asbestos-roof-removal.html,https://www.alliancegroups.com.au/asbestos-roof-removal.html,Asbestos Roof Removal &amp; Colorbond Replacement Brisbane | Alliance Group,Asbestos Roof Removal &amp; Colorbond Replacement,Specialist Super Six corrugated asbestos roof removal and modern Colorbond replacement. licensed asbestos removal &amp; compliance team &amp; Class B hazmat team across SE QLD.,https://www.alliancegroups.com.au/asbestos-roof-removal.html,CORRECT
asbestos-services.html,https://www.alliancegroups.com.au/asbestos-services.html,"Asbestos Testing, Removal &amp; Clearance | AUasbestos &amp; Alliance Group Brisbane","Licensed Asbestos Testing, Removal &amp; Clearance Solutions","NATA-accredited asbestos testing, certified removal, comprehensive hazard audits, and clearance certificates across Brisbane and Queensland. Licensed, fast turnaround &amp; fully compliant.",https://www.alliancegroups.com.au/asbestos-services.html,CORRECT
building-compliance-brisbane.html,https://www.alliancegroups.com.au/building-compliance-brisbane.html,Building Compliance Brisbane &amp; QLD | Building Compliance Audits &amp; Compliance Shield™,Building Compliance Brisbane,"Building compliance audits, NCC & WHS statutory standards verification, and structural risk reviews across Brisbane. Powered by Compliance Shield™ ($395 fixed fee).",https://www.alliancegroups.com.au/building-compliance-brisbane.html,CORRECT
building-defect-inspections.html,https://www.alliancegroups.com.au/building-defect-inspections.html,Building Defect Inspections Brisbane &amp; QLD | Forensic Audits | Alliance Group,Building Defect Inspections Queensland,"Forensic building defect inspections, expert witness reporting &amp; non-destructive testing for body corporates, commercial owners &amp; insurers across Queensland.",https://www.alliancegroups.com.au/building-defect-inspections.html,CORRECT
building-defects-brisbane.html,https://www.alliancegroups.com.au/building-defects-brisbane.html,Building Defects Brisbane | Forensic Inspection &amp; Rectification | Alliance Group,Building Defects Brisbane,"licensed asbestos &amp; building compliance team investigating and rectifying structural building defects, slab movement, facade cracking, and waterproofing failure across Brisbane.",https://www.alliancegroups.com.au/building-defects-brisbane.html,CORRECT
building-remediation-brisbane.html,https://www.alliancegroups.com.au/building-remediation-brisbane.html,Building Remediation Brisbane | Structural Repairs &amp; Defect Rectification | Alliance Group,Building Remediation Brisbane,"Licensed Removalists &amp; Compliance Specialists providing structural building remediation, concrete cancer repair, waterproofing failure rectification &amp; strata renewals across Brisbane.",https://www.alliancegroups.com.au/building-remediation-brisbane.html,CORRECT
commercial-asbestos-services.html,https://www.alliancegroups.com.au/commercial-asbestos-services.html,Commercial Asbestos Services Brisbane &amp; QLD | Alliance Group,Commercial Asbestos Services Queensland,"Commercial asbestos removal, stripouts, registers (s425) &amp; management plans (s429) for body corporates, industrial facilities &amp; property managers across QLD.",https://www.alliancegroups.com.au/commercial-asbestos-services.html,CORRECT
commercial-roof-repairs.html,https://www.alliancegroups.com.au/commercial-roof-repairs.html,Commercial Roof Repairs Brisbane &amp; QLD | Industrial Metal Roofing | Alliance Group,Commercial Roof Repairs Queensland,"Licensed & certified commercial roof repairs, box gutter engineering, industrial metal re-roofing &amp; hazardous Super Six roof replacement across Queensland.",https://www.alliancegroups.com.au/commercial-roof-repairs.html,CORRECT
compliance-shield-portal.html,https://www.alliancegroups.com.au/compliance-shield-portal.html,Compliance Shield™ Document Portal | Alliance Group,Compliance Shield™ Document Portal,"Securely upload your compliance documents — asbestos registers, clearance certificates and management plans — to the Alliance Group Compliance Shield™ Portal.",https://www.alliancegroups.com.au/compliance-shield-portal.html,CORRECT
compliance-shield.html,https://www.alliancegroups.com.au/compliance-shield.html,Compliance Shield™ Framework | Alliance Group Queensland,,The Compliance Shield™ is Queensland,https://www.alliancegroups.com.au/compliance-shield.html,CORRECT
construction-services.html,https://www.alliancegroups.com.au/construction-services.html,"Construction, Renovations &amp; Commercial Fitouts Brisbane | Alliance Group",,"Licensed & certified residential & commercial construction, luxury home renovations, and structural engineering across Brisbane & South East Queensland. Fixed-price contracts.",https://www.alliancegroups.com.au/construction-services.html,CORRECT
contact.html,https://www.alliancegroups.com.au/contact.html,Contact &amp; Request a Quote | Alliance Group Brisbane QLD,,"Request a fixed-price proposal or book certified asbestos testing, building construction, and Compliance Shield audits across Brisbane and Queensland. 24/7 emergency make-safe response.",https://www.alliancegroups.com.au/contact.html,CORRECT
emergency-building-response.html,https://www.alliancegroups.com.au/emergency-building-response.html,Emergency Building Response Brisbane | 24/7 Structural Make-Safe | Alliance Group,Emergency Building Response Brisbane,"24/7 emergency building response, storm damage make-safe, structural propping &amp; hazardous material containment across Brisbane &amp; South East Queensland.",https://www.alliancegroups.com.au/emergency-building-response.html,CORRECT
emergency-roof-repairs.html,https://www.alliancegroups.com.au/emergency-roof-repairs.html,Emergency Roof Repairs Brisbane | 24/7 Storm Make-Safe | Alliance Group,Emergency Roof Repairs Brisbane,"24/7 emergency roof repairs, storm damage make-safe &amp; emergency roof tarping across Brisbane &amp; SE QLD. Fast deployment for severe leaks &amp; structural impact.",https://www.alliancegroups.com.au/emergency-roof-repairs.html,CORRECT
index.html,https://www.alliancegroups.com.au/index.html,Compliance Shield™ — $395 Asbestos & Demolition Document Review | Alliance Group Queensland,,Get your asbestos & demolition compliance documents reviewed by Alliance Group,https://www.alliancegroups.com.au/,MISMATCH: https://www.alliancegroups.com.au/
